2025-01-13 12:23:06.996, Program Started
2025-01-13 12:23:07.129, .226000
2025-01-13 12:23:33.555, Z Accel:, -6.161000
2025-01-13 12:23:33.619, X Accel:, -29.585000
2025-01-13 12:23:33.684, Y Accel:, -6.954000
2025-01-13 12:23:33.751, Z Accel:, -6.771000
2025-01-13 12:23:33.814, X Accel:, -28.731000
2025-01-13 12:23:33.881, Y Accel:, -4.453000
2025-01-13 12:23:33.948, Z Accel:, -7.076000
2025-01-13 12:23:34.017, X Accel:, -26.108000
2025-01-13 12:23:34.077, Y Accel:, -0.305000
2025-01-13 12:23:34.150, Z Accel:, 1017.114000
2025-01-13 12:23:34.219, X Accel:, -24.034000
2025-01-13 12:23:34.278, Y Accel:, 20.008000
2025-01-13 12:23:34.350, Z Accel:, 1022.543000
2025-01-13 12:23:34.417, X Accel:, -6.222000
2025-01-13 12:23:34.483, Y Accel:, 16.897000
2025-01-13 12:23:34.544, Z Accel:, -6.405000
2025-01-13 12:23:34.610, X Accel:, -6.954000
2025-01-13 12:23:34.677, Y Accel:, 18.483000
2025-01-13 12:23:34.737, Z Accel:, -7.259000
2025-01-13 12:23:34.803, X Accel:, -4.819000
2025-01-13 12:23:34.868, Y Accel:, 19.947000
2025-01-13 12:23:34.934, Z Accel:, 1020.530000
2025-01-13 12:23:35.001, X Accel:, -6.466000
2025-01-13 12:23:35.067, Y Accel:, 19.886000
2025-01-13 12:23:35.133, Z Accel:, -3.233000
2025-01-13 12:23:35.193, X Accel:, -6.466000
2025-01-13 12:23:35.259, Y Accel:, 20.618000
2025-01-13 12:23:35.324, Z Accel:, -3.965000
2025-01-13 12:23:35.384, X Accel:, -5.185000
2025-01-13 12:23:35.451, Y Accel:, 22.143000
2025-01-13 12:23:35.517, Z Accel:, -7.808000
2025-01-13 12:23:35.577, X Accel:, -4.575000
2025-01-13 12:23:35.643, Y Accel:, -2.501000
2025-01-13 12:23:35.714, Z Accel:, 1006.866000
2025-01-13 12:23:35.784, X Accel:, -14.274000
2025-01-13 12:23:35.844, Y Accel:, -7.686000
2025-01-13 12:23:35.909, Z Accel:, -6.893000
2025-01-13 12:23:35.979, X Accel:, -15.494000
2025-01-13 12:23:36.039, Y Accel:, -6.466000
2025-01-13 12:23:36.111, Z Accel:, 1000.156000
2025-01-13 12:23:36.177, X Accel:, -3.965000
2025-01-13 12:23:36.236, Y Accel:, -6.039000
2025-01-13 12:23:36.302, Z Accel:, -1.952000
2025-01-13 12:23:36.369, X Accel:, -0.305000
2025-01-13 12:23:36.435, Y Accel:, 36.051000
2025-01-13 12:23:36.501, Z Accel:, 1019.859000
2025-01-13 12:23:36.567, X Accel:, -3.355000
2025-01-13 12:23:36.633, Y Accel:, -0.976000
2025-01-13 12:23:36.693, Z Accel:, -5.856000
2025-01-13 12:23:36.759, X Accel:, -8.662000
2025-01-13 12:23:36.825, Y Accel:, 18.361000
2025-01-13 12:23:36.884, Z Accel:, -4.270000
2025-01-13 12:23:36.951, X Accel:, -6.466000
2025-01-13 12:23:37.017, Y Accel:, -1.464000
2025-01-13 12:23:37.089, Z Accel:, 1002.474000
2025-01-13 12:23:37.152, X Accel:, -13.359000
2025-01-13 12:23:37.218, Y Accel:, 18.483000
2025-01-13 12:23:37.290, Z Accel:, 1020.286000
2025-01-13 12:23:37.359, X Accel:, -11.834000
2025-01-13 12:23:37.417, Y Accel:, 4.575000
2025-01-13 12:23:37.483, Z Accel:, -5.002000
2025-01-13 12:23:37.552, X Accel:, -11.285000
2025-01-13 12:23:37.612, Y Accel:, -2.501000
2025-01-13 12:23:37.684, Z Accel:, 1002.962000
2025-01-13 12:23:37.753, X Accel:, -10.675000
2025-01-13 12:23:37.813, Y Accel:, 35.502000
2025-01-13 12:23:37.885, Z Accel:, 1015.833000
2025-01-13 12:23:37.951, X Accel:, -2.806000
2025-01-13 12:23:38.017, Y Accel:, 35.014000
2025-01-13 12:23:38.083, Z Accel:, 1016.565000
2025-01-13 12:23:38.153, X Accel:, -13.603000
2025-01-13 12:23:38.219, Y Accel:, 21.289000
2025-01-13 12:23:38.279, Z Accel:, -2.562000
2025-01-13 12:23:38.345, X Accel:, -4.331000
2025-01-13 12:23:38.410, Y Accel:, 37.820000
2025-01-13 12:23:38.476, Z Accel:, 1034.804000
2025-01-13 12:23:38.542, X Accel:, -2.501000
2025-01-13 12:23:38.609, Y Accel:, 20.252000
2025-01-13 12:23:38.669, Z Accel:, -2.684000
2025-01-13 12:23:38.735, X Accel:, -9.516000
2025-01-13 12:23:38.801, Y Accel:, -0.549000
2025-01-13 12:23:38.872, Z Accel:, 1032.669000
2025-01-13 12:23:38.933, X Accel:, -4.819000
2025-01-13 12:23:38.999, Y Accel:, -3.355000
2025-01-13 12:23:39.071, Z Accel:, 1022.787000
2025-01-13 12:23:39.131, X Accel:, -6.100000
2025-01-13 12:23:39.194, Y Accel:, 1.037000
2025-01-13 12:23:39.260, Z Accel:, -0.671000
2025-01-13 12:23:39.320, X Accel:, -6.588000
2025-01-13 12:23:39.386, Y Accel:, -7.442000
2025-01-13 12:23:39.452, Z Accel:, -0.732000
2025-01-13 12:23:39.512, X Accel:, -2.379000
2025-01-13 12:23:39.578, Y Accel:, -8.235000
2025-01-13 12:23:39.650, Z Accel:, 1035.048000
2025-01-13 12:23:39.714, X Accel:, 7.198000
